City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
600,Shimoda,JP,broken clouds,79.16,34.6667,138.95,Shimoda Tokyu Hotel
605,Ayagoz,KZ,clear sky,77.88,47.9714,80.4392,ХАН
606,Kosh-Agach,RU,overcast clouds,62.56,50.0,88.6667,Fermerskiy Dom v Kosh-Agache
607,Juba,SS,broken clouds,77.65,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
610,Powell River,CA,overcast clouds,68.0,49.8496,-124.5361,Rodmay Hotel
611,Kussnacht,CH,clear sky,65.64,47.0856,8.4421,"Chalet-Hotel Lodge, Swiss-Chalet Merlischachen"
612,Gaoual,GN,broken clouds,73.83,11.75,-13.2,Hotel koliba
615,Jaszkarajeno,HU,clear sky,69.22,47.05,20.0667,hongarijepuszta.nl
616,Morden,CA,clear sky,62.1,49.1919,-98.1014,Morden Motor Inn
617,Kushiro,JP,broken clouds,72.55,42.975,144.3747,Toyoko Inn Kushiro Jujigai
618,Albert Lea,US,overcast clouds,70.57,43.648,-93.3683,Countryside Motel Albert Lea
621,Aboso,GH,overcast clouds,72.01,5.3617,-1.9473,New Atuabo
622,Yamada,JP,light rain,70.56,39.4667,141.95,Iroha-ya Inn
623,Itaguai,BR,broken clouds,69.42,-22.8522,-43.7753,It Grande Hotel Itaguai
625,Waddan,LY,clear sky,72.25,29.1614,16.139,محل الشريف محمد العايب
633,Orebro,SE,broken clouds,67.24,59.2741,15.2066,Clarion Hotel Örebro
637,Yermish,RU,broken clouds,72.95,54.7678,42.2711,Zarya
638,Santarem,BR,broken clouds,77.13,-2.4431,-54.7083,Hotel Imperador
639,Ontario,US,few clouds,79.41,34.0633,-117.6509,Capri Motel
640,Tomatlan,MX,overcast clouds,75.67,19.9333,-105.25,El Salvial
642,Bend,US,clear sky,74.48,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
643,Winslow,US,clear sky,71.78,35.0242,-110.6974,Best Western Plus Winslow Inn
644,Nieuw Amsterdam,SR,broken clouds,79.02,5.8833,-55.0833,Hotel Stardust
645,Kabare,CD,overcast clouds,64.87,-2.4683,28.8242,Hôtel Panorama
646,Romny,UA,broken clouds,63.45,50.751,33.4747,Floriana
647,Pangody,RU,scattered clouds,62.26,65.85,74.4859,Elizaveta Shevchuk's House
648,Urusha,RU,light rain,65.19,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
649,Umba,RU,scattered clouds,65.12,66.6871,34.3429,Cedar Grass Beloye More
652,Tashtyp,RU,light rain,66.43,52.7939,89.8983,Oblachnyye Glubiny Orden Gusu Lan'
657,Half Moon Bay,US,mist,65.05,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
658,Dokka,NO,scattered clouds,62.38,60.84,10.0618,Dokka Camping
661,Saint-Georges,GD,overcast clouds,79.07,12.0564,-61.7485,Radisson Grenada Beach Resort
662,Tagbac,PH,broken clouds,77.47,7.089,125.1567,Sitio Maupot Family Resort
663,Palafrugell,ES,clear sky,77.45,41.9174,3.1631,Hotel La Torre
665,Vinh Long,VN,overcast clouds,78.78,10.25,105.9667,Phuong Thao Homestay
666,Uchiza,PE,scattered clouds,67.51,-8.4592,-76.4633,Hotel San Pedro
669,Cap Malheureux,MU,broken clouds,75.47,-19.9842,57.6142,Pereybere Hotel & Spa
